Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
WABERA,0.3588667172516978,37.59258512424839,6.37,23.0
North Kamagambo Ward,-0.687860834189673,34.61015371471155,5.97,22.2
Central Kamagambo Ward,-0.7592774741658361,34.60460437545984,5.92,21.7
South Kamagambo Ward,-0.8798223867194407,34.607353289304456,5.81,21.8
North Sakwa Ward,-0.7920955612465579,34.54381190939999,5.94,22.6
South Sakwa Ward,-0.9391559046308628,34.57205819060738,5.81,21.9
West Sakwa Ward,-0.8404071796559828,34.506014374808586,5.9,22.6
Central Sakwa Ward,-0.8643972290628054,34.53464847012467,5.86,22.0
God Jope  Ward,-1.0639061972504038,34.52802138648346,5.87,21.3
Suna Central Ward,-1.0828949340853269,34.497910663722514,5.89,21.9
Kakrao Ward,-1.0278898601710686,34.424900542982975,5.86,22.9
Kwa Ward,-1.1015809389426976,34.59692622469115,5.89,22.0
Wiga Ward,-1.0539679288593309,34.33325815792345,5.9,22.8
Waseweta Ii Ward,-1.0981608008736514,34.40925471408268,5.89,22.6
Ragana-oruba Ward,-1.094954984956403,34.46581422482515,5.9,22.4
Wasimbete Ward,-1.12986795895767,34.32974104868404,5.85,22.5
West Kanyamkago Ward,-0.9570671992379686,34.399961179814895,5.87,22.3
North  Kanyamkago Ward,-0.8769527534523385,34.414093955681786,5.91,22.9
Central Kanyamkago Ward,-0.93502054479994,34.45799240488725,5.84,22.4
South Kanyamkago Ward,-0.9861327522451406,34.51508043946352,5.83,22.3
East Kanyamkago Ward,-1.0312654047608494,34.57019824261302,5.84,21.8
Kachieng' Ward,-0.8056861752203094,34.14798571548479,6.05,23.3
Masaba Ward,-1.1382508590768747,34.547123700301384,5.94,22.3
Ntimaru West Ward,-1.3455911326776984,34.68467630441277,5.83,19.4
Mathatani Ward,-1.36151654303908,37.07856581442073,5.52,19.8
Syokimau-mulolongo Ward,-1.365907601713113,36.94326203245935,5.45,19.5
Kalama Ward,-1.6445268289492083,37.19670874246108,5.53,18.7
Mua Ward,-1.5158964768130108,37.20001049007539,5.52,18.4
Mutituni Ward,-1.4234364465330884,37.24569097740322,5.57,16.6
Township Ward,-1.511380196422783,37.279919890254725,5.54,18.1
Mumbuni North Ward,-1.4836311239968247,37.25538421515627,5.5,18.6
Muvuti-kiima-kimwe Ward,-1.5412515469004229,37.29266417288969,5.51,19.3
Kola Ward,-1.685963339093654,37.28059812238244,5.55,17.4
Mbiuni Ward,-1.238811934451979,37.41688594322802,5.51,21.3
Makutano-mwala Ward,-1.3484959271147845,37.47229466407518,5.46,21.1
Masii Ward,-1.458623897151277,37.42918637007731,5.5,20.3
Muthetheni Ward,-1.5008226664031388,37.53177184768745,5.57,20.6
Wamunyu Ward,-1.4144477894862113,37.58162780332427,5.52,21.1
Kibauni Ward,-1.5454486883164271,37.67112763884554,5.49,21.0
West Kasipul Ward,-0.5460132273683745,34.67103072668768,6.06,22.6
South Kasipul Ward,-0.52502459545561,34.7215806935921,6.07,22.1
Central Kasipul Ward,-0.4543442736368003,34.7064596534114,6.17,22.4
East Kamagak Ward,-0.4757256224436331,34.77058533459399,6.1,21.9
West Kamagak Ward,-0.5029528516360326,34.74213811651566,6.08,22.3
Kabondo East Ward,-0.4270685219419871,34.94234516814299,6.05,21.4
Kabondo West Ward,-0.4290818599226096,34.861335877846535,6.12,22.1
Kokwanyo/kakelo Ward,-0.451229151195781,34.800857372502534,6.13,22.4
Kojwach Ward,-0.4899489402432525,34.84465995718245,6.02,21.6
West Karachuonyo Ward,-0.4008794713903937,34.490222205732124,6.29,22.4
North Karachuonyo Ward,-0.363958282855288,34.542860970598035,6.32,23.6
Central Ward,-0.3825438250807803,34.61005006121896,6.28,24.1
Kanyaluo Ward,-0.4464422531293569,34.62549020121572,6.19,23.4
Kagan Ward,-0.5157498229552139,34.60292426359025,6.15,23.3
Kochia Ward,-0.516151295978897,34.53887181902623,6.21,23.5
Homa Bay Central Ward,-0.595675263817424,34.48676236063801,6.05,23.0
Homa Bay Arujo Ward,-0.588654128826998,34.46298103132196,6.05,23.1
Homa Bay East Ward,-0.5909207587031712,34.518153956527705,6.08,22.7
Kwabwai Ward,-0.7717268374402927,34.27275055883147,5.79,21.7
Kanyadoto Ward,-0.7903418695745309,34.342129944047954,5.86,22.9
Kanyikela Ward,-0.7929794897355773,34.37728544372047,5.89,23.0
Kabouch North Ward,-0.7144493736987736,34.481547794932155,5.97,22.6
Kabuoch South/pala Ward,-0.7999551000339278,34.449648963340465,5.94,22.7
Kanyamwa Kosewe Ward,-0.7005562503095712,34.353886572153904,5.85,22.1
Mfangano Island Ward,-0.4641986369743738,34.015475557881814,6.17,22.1
Rusinga Island Ward,-0.404221224924475,34.174646073694525,6.25,22.9
Kasgunga Ward,-0.4709180186887339,34.22873140759316,6.24,22.7
Chavakali Ward,0.1105908742992293,34.71463241353809,5.99,20.9
Busali Ward,0.1391297879895203,34.79774919257519,5.95,20.9
Shiru Ward,0.1647296476347767,34.88001221884817,5.88,20.8
Gisambai Ward,0.0546305021046562,34.76856197466933,5.91,19.5
Muhudu Ward,0.156576878798456,34.83554782443114,5.93,21.1
Tambua Ward,0.0192132437759697,34.77897038712877,5.91,21.6
Jepkoyai Ward,0.0202556549210178,34.73774144746241,5.94,21.1
Luanda South Ward,-0.0133411072382636,34.56943588331548,6.06,21.0
