ward,subcounty,county,latitude,longitude
WABERA,Isiolo Sub County,ISIOLO,0.3588667172516978,37.59258512424839
North Kamagambo Ward,Rongo Sub County,Migori,-0.687860834189673,34.61015371471155
Central Kamagambo Ward,Rongo Sub County,Migori,-0.7592774741658361,34.604604375459836
South Kamagambo Ward,Rongo Sub County,Migori,-0.8798223867194407,34.607353289304456
North Sakwa Ward,Awendo Sub County,Migori,-0.7920955612465579,34.54381190939999
South Sakwa Ward,Awendo Sub County,Migori,-0.9391559046308627,34.57205819060738
West Sakwa Ward,Awendo Sub County,Migori,-0.8404071796559828,34.506014374808586
Central Sakwa Ward,Awendo Sub County,Migori,-0.8643972290628054,34.53464847012467
God Jope  Ward,Suna East Sub County,Migori,-1.0639061972504038,34.52802138648346
Suna Central Ward,Suna East Sub County,Migori,-1.0828949340853269,34.497910663722514
Kakrao Ward,Suna East Sub County,Migori,-1.0278898601710686,34.424900542982975
Kwa Ward,Suna East Sub County,Migori,-1.1015809389426976,34.59692622469115
Wiga Ward,Suna West Sub County,Migori,-1.0539679288593307,34.33325815792345
Waseweta Ii Ward,Suna West Sub County,Migori,-1.0981608008736514,34.40925471408268
Ragana-oruba Ward,Suna West Sub County,Migori,-1.094954984956403,34.46581422482515
Wasimbete Ward,Suna West Sub County,Migori,-1.12986795895767,34.32974104868404
West Kanyamkago Ward,Uriri Sub County,Migori,-0.9570671992379686,34.399961179814895
North  Kanyamkago Ward,Uriri Sub County,Migori,-0.8769527534523385,34.414093955681786
Central Kanyamkago Ward,Uriri Sub County,Migori,-0.9350205447999401,34.45799240488725
South Kanyamkago Ward,Uriri Sub County,Migori,-0.9861327522451406,34.51508043946352
East Kanyamkago Ward,Uriri Sub County,Migori,-1.0312654047608494,34.57019824261302
Kachieng' Ward,Nyatike Sub County,Migori,-0.8056861752203094,34.14798571548479
Masaba Ward,Kuria West Sub County,Migori,-1.1382508590768747,34.547123700301384
Ntimaru West Ward,Kuria East Sub County,Migori,-1.3455911326776984,34.68467630441277
Mathatani Ward,Athi River Sub County,Machakos,-1.3615165430390799,37.07856581442073
Syokimau-mulolongo Ward,Athi River Sub County,Machakos,-1.3659076017131133,36.94326203245935
Kalama Ward,Machakos Sub County,Machakos,-1.6445268289492083,37.19670874246108
Mua Ward,Machakos Sub County,Machakos,-1.5158964768130108,37.20001049007539
Mutituni Ward,Machakos Sub County,Machakos,-1.4234364465330884,37.24569097740322
Township Ward,Machakos Sub County,Machakos,-1.5113801964227833,37.279919890254725
Mumbuni North Ward,Machakos Sub County,Machakos,-1.4836311239968247,37.25538421515627
Muvuti-kiima-kimwe Ward,Machakos Sub County,Machakos,-1.5412515469004229,37.29266417288969
Kola Ward,Machakos Sub County,Machakos,-1.685963339093654,37.28059812238244
Mbiuni Ward,Mwala Sub County,Machakos,-1.238811934451979,37.416885943228024
Makutano-mwala Ward,Mwala Sub County,Machakos,-1.3484959271147843,37.47229466407518
Masii Ward,Mwala Sub County,Machakos,-1.458623897151277,37.42918637007731
Muthetheni Ward,Mwala Sub County,Machakos,-1.5008226664031388,37.53177184768745
Wamunyu Ward,Mwala Sub County,Machakos,-1.4144477894862113,37.58162780332427
Kibauni Ward,Mwala Sub County,Machakos,-1.5454486883164271,37.67112763884554
West Kasipul Ward,Kasipul Sub County,Homa Bay,-0.5460132273683745,34.67103072668768
South Kasipul Ward,Kasipul Sub County,Homa Bay,-0.52502459545561,34.7215806935921
Central Kasipul Ward,Kasipul Sub County,Homa Bay,-0.4543442736368003,34.7064596534114
East Kamagak Ward,Kasipul Sub County,Homa Bay,-0.4757256224436331,34.77058533459399
West Kamagak Ward,Kasipul Sub County,Homa Bay,-0.5029528516360326,34.74213811651566
Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay,-0.4270685219419871,34.94234516814299
Kabondo West Ward,Kabondo Kasipul Sub County,Homa Bay,-0.4290818599226096,34.861335877846535
Kokwanyo/kakelo Ward,Kabondo Kasipul Sub County,Homa Bay,-0.45122915119578105,34.800857372502534
Kojwach Ward,Kabondo Kasipul Sub County,Homa Bay,-0.48994894024325253,34.84465995718245
West Karachuonyo Ward,Karachuonyo Sub County,Homa Bay,-0.4008794713903937,34.490222205732124
North Karachuonyo Ward,Karachuonyo Sub County,Homa Bay,-0.363958282855288,34.542860970598035
Central Ward,Karachuonyo Sub County,Homa Bay,-0.3825438250807803,34.610050061218956
Kanyaluo Ward,Karachuonyo Sub County,Homa Bay,-0.4464422531293569,34.62549020121572
Kagan Ward,Rangwe Sub County,Homa Bay,-0.5157498229552139,34.60292426359025
Kochia Ward,Rangwe Sub County,Homa Bay,-0.516151295978897,34.53887181902623
Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay,-0.595675263817424,34.48676236063801
Homa Bay Arujo Ward,Homa Bay Town Sub County,Homa Bay,-0.588654128826998,34.46298103132196
Homa Bay East Ward,Homa Bay Town Sub County,Homa Bay,-0.5909207587031712,34.518153956527705
Kwabwai Ward,Ndhiwa Sub County,Homa Bay,-0.7717268374402927,34.27275055883147
Kanyadoto Ward,Ndhiwa Sub County,Homa Bay,-0.7903418695745309,34.342129944047954
Kanyikela Ward,Ndhiwa Sub County,Homa Bay,-0.7929794897355773,34.37728544372047
Kabouch North Ward,Ndhiwa Sub County,Homa Bay,-0.7144493736987736,34.481547794932155
Kabuoch South/pala Ward,Ndhiwa Sub County,Homa Bay,-0.7999551000339278,34.449648963340465
Kanyamwa Kosewe Ward,Ndhiwa Sub County,Homa Bay,-0.7005562503095712,34.353886572153904
